Title,Authors,Year,Original Future Work,Distilled Keywords (Lemmatized)
Multi-Source Information Fusion Based Heterogeneous Network Embedding,"Bentian Li, Dechang Pi, Yunxia Lin, Izhar Ahmed Khan, Lin Cui",2020,"Future work is presented in Section 6. (will focus on the possibility of the attribute information of node being multimodal, basis for designing an efficient embedding method for heterogeneous network)","possable, attribute, information, node, multimodal, basi, design, efficient, embed, method, heterogeneou, network"
Heterogeneous Data Fusion Considering Spatial Correlations using Graph Convolutional Networks and its Application in Air Quality Prediction,"Zhengjing Ma, Gang Mei, Salvatore Cuomo, Francesco Piccialli",2021,Not explicitly mentioned.,Not Explicitly Mentioned
Multi-source Heterogeneous Data Fusion Model Based on FC-SAE,"Hong Zhang, Kun Jiang, Chuanqi Cheng, Jie Cao, Wenyue Zhang",2022,Not explicitly mentioned.,Not Explicitly Mentioned
A Multimodal Approach for Semantic Patent Image Retrieval,"Kader Pustu-Iren, Gerrit Bruns, Ralph Ewerth",2021,"Plan to exploit further information in images (e.g., non-numeric image text). Intend to incorporate multimodal information in an end-to-end network or joint framework.","exploit, information, image, non, numeric, text, incorporate, multimodal, end, network, joint, framework"
Potential of patent image data as technology intelligence source,"Jeonghun Jee, Sanghyun Park, Sungjoo Lee",2022,Requires a more elaborated method for identifying meaningful terms using n-grams or pre-defined dictionaries. Future study needed to customize the approach to various other types of patent drawings. Investigate the potential value of combining subject-action-object (SAO) analysis with image analysis.,"require, elaborat, method, identify, meaningful, term, gram, pre, defin, dictionary, need, customize, approach, variou, type, patent, drawing, investigate, potential, value, combin, subject, action, object, sao, analysi, image"
Research on product appearance patent spatial shape recognition for multi-image feature fusion,"Wenguang Lin, Wenchao Yan, Zhizhen Chen, Renbin Xiao",2023,Not explicitly mentioned.,Not Explicitly Mentioned
Multi-source heterogeneous data fusion,"Lili Zhang, Yuxiang Xie, Luan Xidao, Xin Zhang",2018,Not explicitly mentioned.,Not Explicitly Mentioned
"Enhancing ML-based anomaly detection in data management for security through integration of IoT, cloud, and edge computing","Sultan Baimukhanov, Hashim Ali, Adnan Yazici",2025,Not explicitly mentioned.,Not Explicitly Mentioned
"Artificial Intelligence in manufacturing: State of the art, perspectives, and future directions","Robert X. Gao, Jorg Kruger, Marion Merklein, Hans-Christian Mohring, Jòzsef Vàncza",2024,"Expand on unsupervised learning, integrating physics with AI, developing causal AI, adopting next-generation Generative AI and Generalist AI models (LLMs), researching AI-specific hardware, and focusing on real-life AI introduction (trustworthiness).","expand, unsupervis, learn, integrat, physic, develop, causal, adopt, next, generation, generative, generalist, model, llm, research, specific, hardware, real, life, introduction, trustworthiness"
A Comprehensive Review on Blockchain-based Systems for Groundwater Conservation and Wastewater Management,"Amit Mithal, Blessy Thankachan",2025,"The abstract confirms the identification of **research gaps and future directions** (e.g., improved data validation, resource optimization, transparency).","abstract, confirm, identification, research, gap, direction, improv, data, validation, resource, optimization, transparency"
"Optical Fiber-Based Structural Health Monitoring: Advancements, Applications, and Integration with Artificial Intelligence for Civil and Urban Infrastructure","Nikita V. Golovastikov, Nikolay L. Kazanskiy, and Svetlana N. Khonina",2025,Develop more dynamic Digital Twin models for real-time monitoring. Establish standardization of test procedures and calibration for OFS.,"develop, dynamic, digital, twin, model, real, time, monitor, establish, standardization, test, procedure, calibration"
Leveraging Directed Acyclic Graphs for Advanced Ensemble Learning in Predictive Maintenance for Industry 4.0,"Milton Samadder, Anup Kumar Barman, Shiladitya Munshi, Utpal Madhu",2025,Not explicitly mentioned in the abstract.,Not Explicitly Mentioned
HydroSense 2.0: An IoT-Based Smart Water Quality Monitoring and Alert System with Machine Learning and Cloud Integration,"Pruthvi Prashanth Mattihalli, H G Pratheek Gowda, H N Nisarga, Bhoomika G K, Dr. Geetha Kiran A",2025,Not explicitly mentioned in the abstract.,Not Explicitly Mentioned
Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"Arman Malekloo, Ekin Ozer, Mohammad AlHamaydeh and Mark Girolami",2021,The article examines current and future challenges and open research issues in the SHM-ML conjunction and offers an outlook on the future of monitoring civil infrastructure integrity.,"examine, current, challenge, open, research, issue, shm, conjunction, offer, outlook, monitor, civil, infrastructure, integrity"
Big Data analytics and IoT in Operation safety management in Under Water Management,"Xiangtian Nie, Tianyu Fan, Bo Wang, Zhiyong Li, Achyut Shankar, Adhiyaman Manickam",2020,"The authors recommend developing more models using Big Data and IoT for long-term evaluation and scheduling of water distribution networks, performing multi-periodic leakage stream analysis, and expanding performance analyses to include natural and man-made disasters (e.g., earthquakes, thefts, and terrorism).","recommend, develop, model, big, data, iot, long, term, evaluation, schedul, water, distribution, network, perform, multi, periodic, leakage, stream, analysi, expand, performance, analysis, include, natural, man, made, disaster, earthquake, theft, terrorism"
A national scale big data analytics pipeline to assess the potential impacts of flooding on critical infrastructures and communities,"N. Donratanapat, S. Samadi, J.M. Vidal, S. Sadeghi Tabas",2020,The paper suggests expanding the system's spatial coverage (beyond The Carolinas) and integrating more detailed infrastructure and socio-economic data for improved vulnerability assessments.,"suggest, expand, system, spatial, coverage, beyond, carolina, integrat, detail, infrastructure, socio, economic, data, improv, vulnerability, assessment"
Water wise – a digital water solution for smart cities and water management entities,"Inês Figueiredo, Paulo Esteves, Paulo Cabrita",2021,"The paper outlines a plan for future work on the software solution to support full water supply network management, including integration with EPANET 2 (a water flow modeling software).","outline, software, solution, support, full, water, supply, network, management, includ, integration, epanet, flow, model"
Making urban water smart: the SMART-WATER solution,"Gerasimos Antzoulatos, Christos Mourtzios, Panagiota Stournara, Ioannis-Omiros Kouloglou, Nikolaos Papadimitriou, Dimitrios Spyrou, Alexandros Mentes, Efstathios Nikolaidis, Anastasios Karakostas, Dimitrios Kourtesis, Stefanos Vrochidis and Ioannis Kompatsiaris",2020,"The paper does not explicitly detail future work or improvements, focusing instead on the proposed framework and its current capabilities.","detail, improvement, instead, propos, framework, current, capabable"
Machine Learning and Data Analytic Techniques in Digital Water Metering: A Review,"Md Shamsur Rahim, Khoi Anh Nguyen, Rodney Anthony Stewart, Damien Giurco and Michael Blumenstein",2020,"Challenges include developing efficient ML techniques for real-time applications, managing privacy and security, integrating with smart grids and other IoT systems, and optimizing algorithms for large-scale, heterogeneous data.","challenge, include, develop, efficient, technique, real, time, application, manag, privacy, security, integrat, smart, grid, iot, system, optimiz, algorithm, large, scale, heterogeneou, data"
Collection and Compilation of Water Pipeline Field Performance Data,Sunil Sinha and Lee Sears,2017,"Phase II of the project, which involves model development, demonstration, benchmarking, and validation, is planned to follow the data collection and standardization of Phase I. Future work emphasizes data integration (physical, operational, environmental, social, and financial) as the key challenge.","phase, project, involve, model, development, demonstration, benchmark, validation, plann, follow, data, collection, standardization, emphasize, integration, physic, operational, environmental, social, financial, key, challenge"
IoT based smart water management systems: A systematic review,Manmeet Singh and Suhaib Ahmed,2020,"Proposed future architecture includes integrating Machine Learning for real-time predictions and addressing challenges like high energy consumption. Other areas include evaluating measurement uncertainty, improving prediction accuracy for irrigation/flood control, and exploring IoT for measuring economic water scarcity in agriculture.","propos, architecture, include, integrat, machine, learn, real, time, prediction, addres, challenge, like, high, energy, consumption, area, evaluat, measurement, uncertainty, improv, accuracy, irrigation, flood, control, explor, iot, measur, economic, water, scarcity, agriculture"
"AI for smart wastewater treatment plants: A review of physics-informed water quality modeling, optimization, and advanced control","Li Yiting, Zhang Hongpeng, Zhang Peng, Wang Yin, Hao Yiming, Wang Xinran, Guo Wenxuan",2026,"Key future directions include establishing standardized cross-plant benchmarking datasets, developing more interpretable 'physics-informed' AI models, and creating adaptive closed-loop frameworks that incorporate full-scale plant boundaries, including the sludge line and life-cycle carbon footprints.","key, direction, include, establish, standardiz, cross, plant, benchmark, dataset, develop, interpretable, physic, inform, model, creat, adaptive, clos, loop, framework, incorporate, full, scale, boundary, includ, sludge, line, life, cycle, carbon, footprint"
Multi-Component Remote Sensing for Mapping Buried Water Pipelines,"John Lioumbas, Thomas Spahos, Aikaterini Christodoulou, Ioannis Mitzias, Panagiota Stournara, Ioannis Kavouras, Alexandros Mentes, Nopi Theodoridou and Agis Papadopoulos",2025,Future studies should focus on establishing a systematic multi-year data collection protocol to analyze statistical temporal repeatability across seasons and documenting agricultural management practices to better account for their influence on vegetation signatures[cite: 276].,"establish, systematic, multi, year, data, collection, protocol, analyze, statistic, temporal, repeatability, across, season, document, agricultural, management, practice, better, account, influence, vegetation, signature, cite"
Scalable Detection of Underground Water Leaks in Dense Urban Environments Using L-Band SAR and Machine Learning,"Eslam Ali, Lei Xie, Abubakar Sani-Mohammed, Wenbin Xu and Tarek Zayed",2025,"Research will aim to address data imbalance, incorporate physical leak characteristics, and explore new data sources like four-polarization ALOS-2 images and Sentinel-1 C-band data to enhance model robustness[cite: 912, 1150].","research, address, data, imbalance, incorporate, physic, leak, characteristic, explore, new, source, like, four, polarization, alo, image, sentinel, band, enhance, model, robustness, cite"
"Soil Texture Prediction: Advances in Remote Sensing, Image Analysis, and Machine Learning","Sangita Roy, Durgesh Kumar Ansal and Manish Kumar",2025,"Prospective directions include addressing challenges in data quality and model generalization, integrating Explainable AI, and developing real-time applications through IoT and multi-modal data fusion[cite: 1506, 1639].","prospective, direction, include, addres, challenge, data, quality, model, generalization, integrat, explainable, develop, real, time, application, iot, multi, modal, fusion, cite"
Exploring Multitemporal Remote Sensing for Subterranean Feature Detection,"John S. Lioumbas, Aikaterini Christodoulou and Alexandros Mentes",2024,The findings suggest the potential for further systematic analysis to refine indicators of pipeline presence and improve the discernibility of subterranean signals across different land use types.,"finding, suggest, potential, systematic, analysi, refine, indicator, pipeline, presence, improve, discernable, subterranean, signal, across, different, land, use, type"
Using LiDAR-derived terrain wetness indices to identify pipe failure hotspots in water distribution networks,"David Bretreger, In-Young Yeo, Gregory Hancock, Robert E. Melchers and Linden Wells",2021,Recommendations include integrating these topographic indices with other dynamic factors such as seasonal precipitation and soil resistivity. Further research could also explore the use of satellite-based SAR (Synthetic Aperture Radar) data to complement LiDAR for real-time monitoring of soil moisture variations.,"recommendation, include, integrat, topographic, indice, dynamic, factor, seasonal, precipitation, soil, resistivity, research, explore, use, satellite, bas, sar, synthetic, aperture, radar, data, complement, lidar, real, time, monitor, moisture, variation"
