term_1,term_2,co_occurrences,freq_term_1,freq_term_2,npmi
steering,steer,2,9,2,0.8612
fumic,fractionate,2,2,9,0.8612
flaw,exacerbate,5,11,9,0.8612
dovetail,frame,2,9,2,0.8612
amplifier,amplify,34,60,59,0.8601
revolving,drag,3,3,13,0.8594
ledger,expire,3,3,13,0.8594
piper,unfold,4,4,17,0.8573
chlorite,fluorinate,4,14,5,0.8545
subset,subsample,2,10,2,0.8515
dimethyl,sulfonate,2,4,5,0.8515
dimethyl,electroplate,2,4,5,0.8515
bobbin,mate,2,4,5,0.8515
attention,pay,17,46,23,0.8507
lending,own,4,4,19,0.8464
marking,mark,3,3,15,0.8457
bather,bath,3,5,9,0.8457
cabbage,pickle,4,11,7,0.8451
lime,slake,83,244,85,0.845
deadline,expire,4,6,13,0.8438
inventory,oversee,2,11,2,0.8427
vaporize,coalesce,2,2,11,0.8427
claw,board,2,11,2,0.8427
conjugation,aggravate,4,4,20,0.8413
equilibration,equilibrate,4,9,9,0.8401
wafer,dice,3,16,3,0.8395
hydrazine,antiscale,3,16,3,0.8395
bathing,bath,5,14,9,0.8369
swaying,sway,4,12,7,0.8365
bow,dialyze,4,14,6,0.8365
resurgence,deduce,3,10,5,0.8356
spectroscopy,occlude,3,5,10,0.8356
repose,crosslinke,4,5,17,0.8353
publishing,publish,2,3,8,0.8346
dog,bark,2,12,2,0.8346
annunciator,supervise,2,4,6,0.8346
percolator,percolate,2,6,4,0.8346
percolator,prefiltere,2,6,4,0.8346
bioassay,suwon,2,12,2,0.8346
dither,anticipate,2,2,12,0.8346
doser,complement,2,2,12,0.8346
bragg,etch,2,6,4,0.8346
esp,gaskete,2,6,4,0.8346
silk,engrave,2,4,6,0.8346
soundness,survey,7,13,19,0.8312
spectacle,polish,4,5,18,0.8297
lcr,oscillate,6,9,21,0.8297
applicator,oscillate,6,9,21,0.8297
bragg,glue,3,6,9,0.8282
dowel,lean,3,9,6,0.8282
meltwater,fulfill,2,2,13,0.8272
pill,oversee,2,13,2,0.8272
amd,compise,2,13,2,0.8272
proposal,own,11,31,19,0.8267
pain,dilate,3,11,5,0.8264
pain,heal,3,11,5,0.8264
integer,number,7,37,7,0.8262
saline,pickle,6,28,7,0.8259
pallet,pelletize,3,8,7,0.8247
bypipe,forward,3,4,14,0.8247
mmφ,cap,3,8,7,0.8247
salinometer,crystallize,4,5,19,0.8244
subsoil,resort,2,9,3,0.8238
vaporizer,focculate,2,9,3,0.8238
confinement,exacerbate,5,16,9,0.8235
tritium,carbonate,11,17,36,0.8225
introduce,transduce,2,2,14,0.8204
rutotomoni,synchronize,2,2,14,0.8204
steelworks,paint,2,4,7,0.8204
helium,strand,2,4,7,0.8204
divider,perturb,3,20,3,0.8181
ledger,allocate,3,3,20,0.8181
pinion,enmesh,3,20,3,0.8181
kibushi,knead,5,7,22,0.8167
mercaptotriazole,polymerize,2,2,15,0.814
phosphonosuccinic,polymerize,2,2,15,0.814
orthophopsphate,polymerize,2,2,15,0.814
aminomethylenephosphonate,polymerize,2,2,15,0.814
hydroxyethylenediphosphonate,polymerize,2,2,15,0.814
freezer,sonicate,2,6,5,0.814
writer,write,2,3,10,0.814
tollyltriazole,polymerize,2,2,15,0.814
acrylamido,sulfonate,2,6,5,0.814
exception,agree,2,10,3,0.814
rag,chop,2,3,10,0.814
phosphonobutanetricarboxylic,polymerize,2,2,15,0.814
dispersant,antiscale,3,21,3,0.8134
expiration,expire,3,5,13,0.8104
ascent,levitate,3,6,11,0.809
paragraph,publish,2,4,8,0.8081
propane,ignite,2,4,8,0.8081
april,title,2,8,4,0.8081
longevity,conform,2,2,16,0.8081
dip,galvanize,2,16,2,0.8081
proviso,halogenate,2,2,16,0.8081
character,blink,5,19,9,0.8061
substitution,whiten,3,17,4,0.8061
schiff,coalesce,2,3,11,0.8052
raney,bake,2,3,11,0.8052
interconnection,dive,2,11,3,0.8052
embedment,regress,2,3,11,0.8052
swamping,reform,2,2,17,0.8025
tritium,tritiate,4,17,7,0.8021
carbide,cement,9,43,12,0.8015
duplication,rat,4,6,20,0.8013
deadline,allocate,4,6,20,0.8013
monomer,copolymerize,4,30,4,0.8013
damping,perturb,3,24,3,0.8006
dowel,juxtapose,3,9,8,0.8006
georeferencing,georeference,3,4,18,0.8006
flank,cap,2,5,7,0.7998
abundance,amount,2,5,7,0.7998
pickle,pickle,2,5,7,0.7998
bioreaction,deuterate,4,31,4,0.7981
ink,engrave,2,6,6,0.7972
fold,reconstitute,2,18,2,0.7972
fractionation,fractionate,2,4,9,0.7972
fairway,complexe,2,3,12,0.7972
seedling,nitride,2,9,4,0.7972
making,subcoole,2,18,2,0.7972
bolting,band,2,12,3,0.7972
ultrasound,dilate,3,15,5,0.7967
ultrasound,heal,3,15,5,0.7967
thyristor,oscillate,4,6,21,0.7965
dovetail,level,5,9,21,0.796
age,survey,12,48,19,0.7959
colony,percolate,3,19,4,0.7954
contractor,expire,4,10,13,0.7934
allocation,expire,4,10,13,0.7934
logger,log,6,34,8,0.7923
availability,collate,2,19,2,0.7922
pickling,galvanize,2,19,2,0.7922
dither,cleanse,2,2,19,0.7922
neutrient,inoculate,2,2,19,0.7922
fabric,weave,46,172,61,0.792
cytochrome,oxygenate,3,4,20,0.7905
allocation,allocate,5,10,20,0.7903
microclimate,coexist,2,3,13,0.7898
dragging,drag,2,3,13,0.7898
dot,dash,4,15,9,0.7897
streaming,stream,2,4,10,0.7875
apid,validate,2,5,8,0.7875
lc,revise,2,8,5,0.7875
discount,rat,2,2,20,0.7875
hoop,prestresse,2,8,5,0.7875
sandwich,stamp,2,8,5,0.7875
cladding,equilibrate,5,23,9,0.7869
determiner,disconnect,8,8,60,0.7867
orderer,allocate,4,7,20,0.7861
sulfite,antiscale,3,28,3,0.7858
detour,detour,3,17,5,0.7847
kinetic,equilibrate,4,16,9,0.7833
infection,infect,4,16,9,0.7833
stair,paint,2,6,7,0.783
supercooling,subcoole,2,21,2,0.783
tesla,oscillate,2,2,21,0.783
chimney,reunify,2,21,2,0.783
daphnia,label,2,3,14,0.783
allyl,label,2,3,14,0.783
trickle,shed,2,14,3,0.783
embedding,template,2,14,3,0.783
irn,bubble,3,3,29,0.7825
regenerant,number,6,44,7,0.7795
tissue,dilate,3,18,5,0.7792
style,splash,3,9,10,0.7792
tissue,heal,3,18,5,0.7792
sno,bake,2,4,11,0.7787
beverage,suwon,2,22,2,0.7787
glycerine,owe,2,2,22,0.7787
stamp,synchronize,4,11,14,0.7767
changing,diverge,2,3,15,0.7766
vaporizer,encircle,2,9,5,0.7766
acceptor,densifie,2,15,3,0.7766
germ,obligate,3,31,3,0.7761
oscillation,perturb,3,31,3,0.7761
regularity,diagnose,3,3,31,0.7761
help,board,2,23,2,0.7746
portion及beauty,inflow,2,2,23,0.7746
chitosan,electroplate,3,19,5,0.774
push,acknowledge,6,47,7,0.7727
ridge,scoop,5,16,15,0.772
reflection,segment,4,27,6,0.7717
dtw,warp,2,3,16,0.7707
ridge,moor,2,16,3,0.7707
conductor,strand,7,63,7,0.7707
dent,dent,2,12,4,0.7707
vault,superpose,2,8,6,0.7707
reconnection,verify,2,2,24,0.7707
interchangeability,delimit,2,3,16,0.7707
rf,oversee,2,24,2,0.7707
heada,rub,2,2,24,0.7707
spirit,append,6,26,13,0.77
import,import,3,10,10,0.7691
expiration,allocate,3,5,20,0.7691
exo,oxygenate,3,5,20,0.7691
redevelopment,deepen,3,5,20,0.7691
revetment,harmonize,2,7,7,0.7687
refiner,pelletize,2,7,7,0.7687
traceability,diagnose,5,8,31,0.7687
polysulfone,crosslinke,3,6,17,0.7672
fee,collate,2,25,2,0.7669
subset,engineer,2,10,5,0.7669
reality,problem,2,25,2,0.7669
meat,farm,2,5,10,0.7669
ms,heal,2,10,5,0.7669
saltpan,crystallize,4,9,19,0.7664
detonation,ignite,3,13,8,0.7654
looseness,impinge,2,3,17,0.7651
enrichment,resort,2,17,3,0.7651
solid,suspend,1035,1768,1781,0.7649
ledger,access,3,3,35,0.7644
leader,pressurise,2,4,13,0.7633
trigger,gate,2,26,2,0.7633
dpn,normalize,2,2,26,0.7633
degreasing,wipe,2,4,13,0.7633
pathway,afford,2,13,4,0.7633
dehydrogenase,incubate,2,2,26,0.7633
throttling,desublimate,2,13,4,0.7633
glutathione,incubate,2,2,26,0.7633
glycerol,incubate,2,2,26,0.7633
peroxodisulfate,incubate,2,2,26,0.7633
preservation,promulgate,2,26,2,0.7633
microplastic,originate,5,8,33,0.7624
problem,solve,1306,3376,1423,0.7621
microfilter,bifurcate,3,27,4,0.7617
carbonization,carbonize,8,34,18,0.761
coli,fluorinate,3,22,5,0.76
nucleus,densifie,2,18,3,0.7598
ladder,frame,2,27,2,0.7598
skimming,supercoole,2,6,9,0.7598
amino,antiscale,2,18,3,0.7598
titration,differentiate,4,8,23,0.7592
headphone,listen,3,7,16,0.7582
dsa,bake,2,5,11,0.7581
metalloid,infiltrate,11,15,74,0.7572
duplication,schedule,3,6,19,0.7566
prepolymer,immobilize,3,3,38,0.7566
candidate,reject,12,62,21,0.7565
lcr,damp,4,9,21,0.7565
supercooling,supercoole,4,21,9,0.7565
mussel,label,2,4,14,0.7564
vw,emboss,2,7,8,0.7564
driftwood,drift,2,4,14,0.7564
micron,reconstitute,2,28,2,0.7564
pixel,binarize,2,28,2,0.7564
staircase,precast,2,14,4,0.7564
crescent,taper,2,2,28,0.7564
fv,emboss,2,7,8,0.7564
detention,detain,2,8,7,0.7564
acquisition,acquire,144,246,419,0.7555
fairway,incur,2,3,19,0.7548
display,display,254,564,498,0.7544
retrieval,launch,5,11,26,0.7543
rack,enmesh,3,39,3,0.7541
semiconductor,dice,3,39,3,0.7541
pedestrian,bark,2,29,2,0.7532
microbe,denaturate,2,29,2,0.7532
trimethoxyborane,bubble,2,2,29,0.7532
world,spur,2,29,2,0.7532
card,collate,2,29,2,0.7532
underground,survey,6,21,19,0.7529
lifetime,blink,4,22,9,0.7519
tooth,enmesh,3,40,3,0.7516
alert,acknowledge,6,58,7,0.7511
contractor,allocate,4,10,20,0.751
urinal,choose,4,5,40,0.751
humidification,humidify,3,11,11,0.7508
phosphonate,polymerize,2,4,15,0.7501
voice,text,2,30,2,0.7501
cleanup,dye,2,3,20,0.7501
government,promulgate,2,31,2,0.747
whisker,diagnose,2,2,31,0.747
dehumidification,dehumidify,4,21,10,0.7461
strand,chop,4,21,10,0.7461
desulfurization,desulfurize,2,9,7,0.7456
kneader,pelletize,2,9,7,0.7456
text,broadcast,2,21,3,0.7456
icing,supercoole,2,7,9,0.7456
recharge,benefit,2,7,9,0.7456
paving,pave,2,7,9,0.7456
augmentation,manipulate,3,4,32,0.7454
tone,listen,3,8,16,0.7454
theory,wish,3,32,4,0.7454
compensation,perturb,3,43,3,0.7447
taste,obligate,3,43,3,0.7447
koh,modulate,2,4,16,0.7441
draft,reunify,2,32,2,0.7441
receipt,encode,2,8,8,0.7441
yellow,split,2,2,32,0.7441
contract,renew,2,8,8,0.7441
vte,emboss,2,8,8,0.7441
shredder,shred,2,8,8,0.7441
netron,thermosette,3,5,26,0.744
scope,depart,18,106,28,0.7436
grate,slop,5,16,20,0.743
oscillation,sway,4,31,7,0.7429
sway,digitize,2,5,13,0.7427
pain,anticipate,3,11,12,0.7425
timeframe,schedule,3,7,19,0.7418
pickling,pickle,3,19,7,0.7418
ruo,bake,2,6,11,0.7413
extending,neighbor,2,2,33,0.7413
matching,collate,2,33,2,0.7413
grenade,sinter,2,2,33,0.7413
mem,prompt,2,3,22,0.7413
後方,neighbor,2,2,33,0.7413
scd,text,2,33,2,0.7413
thrust,rush,5,30,11,0.7399
regression,regress,8,68,11,0.7398
transition,transition,19,97,35,0.7389
corona,impinge,2,4,17,0.7385
hyperparameter,train,2,2,34,0.7385
starch,pregelatinize,2,34,2,0.7385
brick,regenerant,2,34,2,0.7385
cluster,template,3,46,3,0.7382
icon,initiate,7,9,67,0.738
launching,launch,5,13,26,0.7374
gain,readjust,3,14,10,0.7369
blood,heal,3,28,5,0.7369
blood,dilate,3,28,5,0.7369
tritium,decontaminate,5,17,20,0.7368
extruder,extrude,11,21,64,0.7363
pe,popularize,3,47,3,0.7362
pathogen,antagonize,3,47,3,0.7362
neodymium,magnetize,5,7,49,0.736
plural,number,2,10,7,0.7358
harvesting,encompass,2,14,5,0.7358
ammeter,stream,2,7,10,0.7358
applicant,file,14,80,26,0.7343
modulation,modulate,3,9,16,0.7342
raney,plat,3,3,48,0.7342
shift,perturb,3,48,3,0.7342
electrofusion,rout,6,30,16,0.734
docking,vent,3,5,29,0.7335
party,renew,2,9,8,0.7332
july,publish,2,9,8,0.7332
lens,magnify,2,36,2,0.7332
photo,etch,2,18,4,0.7332
skimming,means,2,6,12,0.7332
logistic,purchase,2,4,18,0.7332
twist,tangle,2,8,9,0.7332
exhaustion,preselecte,2,24,3,0.7332
diagnosis,diagnose,15,77,31,0.7322
mbr,deuterate,4,61,4,0.7313
heada,center,2,2,37,0.7307
ic,collate,2,37,2,0.7307
monomer,sulfonate,3,30,5,0.7302
preload,enclose,4,4,62,0.7297
sesa,cushion,2,5,15,0.7295
stacking,encompass,2,15,5,0.7295
sarcosinate,polymerize,2,5,15,0.7295
lignosulphonate,polymerize,2,5,15,0.7295
tannine,polymerize,2,5,15,0.7295
rental,own,3,8,19,0.729
dcpd,insolubilize,2,4,19,0.7282
srso,scale,2,2,38,0.7282
foundry,chlorinate,2,2,38,0.7282
decontamination,tritiate,5,53,7,0.728
money,cost,3,14,11,0.7277
overvoltage,bake,2,7,11,0.727
decline,decline,2,7,11,0.727
bird,shade,3,13,12,0.7265
doser,assist,2,2,39,0.7258
salting,biodegrade,2,6,13,0.7258
percolator,pressurise,2,6,13,0.7258
expiry,expire,2,6,13,0.7258
quartzite,impart,2,2,39,0.7258
cattle,breed,2,2,39,0.7258
heada,pivot,2,2,39,0.7258
ethylenediaminetetraacetic,incubate,2,3,26,0.7258
bed,fluidize,262,1255,281,0.7254
export,deionize,4,9,29,0.7247
chalk,impair,3,3,53,0.7247
cesium,carbonate,8,24,36,0.7245
decontamination,decontaminate,9,53,20,0.7244
hydroxybenzene,substitute,3,4,40,0.724
kneading,knead,4,12,22,0.7236
restraint,restrain,4,8,33,0.7236
infection,germinate,2,16,5,0.7235
anxiety,decontaminate,2,4,20,0.7235
overlay,overlay,2,5,16,0.7235
tourism,conform,2,5,16,0.7235
locating,allocate,2,4,20,0.7235
walkway,walk,2,5,16,0.7235
button,acknowledge,6,76,7,0.7234
reciprocation,swing,3,6,27,0.7229
making,supercoole,3,18,9,0.7229
character,preset,4,19,14,0.7228
fog,focculate,2,27,3,0.7224
standby,transition,9,31,35,0.7219
dizziness,automate,2,2,41,0.7212
sun,orientate,2,41,2,0.7212
nausea,automate,2,2,41,0.7212
vomiting,automate,2,2,41,0.7212
scattering,braze,2,41,2,0.7212
proviso,enrich,2,2,41,0.7212
interpolation,interpolate,3,15,11,0.7211
alignment,drag,5,31,13,0.7197
ghost,reject,2,4,21,0.719
public,salt,2,12,7,0.719
chute,subcoole,2,42,2,0.719
conductance,complement,2,7,12,0.719
dialisation,guarantee,2,2,42,0.719
climate,spur,2,42,2,0.719
thyristor,synchronize,2,6,14,0.719
signature,disregard,5,58,7,0.719
desertification,transform,5,12,34,0.7185
spirit,depart,7,26,28,0.7184
flank,rest,3,5,34,0.7182
reset,blink,4,31,9,0.7181
textile,sew,2,17,5,0.7179
monovinylidene,crosslinke,2,5,17,0.7179
alkyl,substitute,4,7,40,0.7178
conjugation,fail,4,4,70,0.7178
piper,fold,4,4,70,0.7178
donor,forbid,2,43,2,0.7168
persimmon,soak,2,3,29,0.7158
chestnut,soak,2,3,29,0.7158
tl,regress,4,26,11,0.7157
expiration,access,3,5,35,0.7155
fracture,heal,3,35,5,0.7155
fracture,dilate,3,35,5,0.7155
oscillator,oscillate,5,20,21,0.7155
fat,dilate,3,35,5,0.7155
fat,heal,3,35,5,0.7155
kinetic,ascend,8,16,59,0.7152
resiliency,relieve,3,4,44,0.7149
asthma,relieve,3,4,44,0.7149
host,line,13,33,66,0.7148
signature,reconstruct,7,58,13,0.7147
wasting,backfille,2,4,22,0.7147
kerb,channel,2,4,22,0.7147
aversion,relieve,2,2,44,0.7147
retreatment,reclaim,2,2,44,0.7147
gpd,boost,2,2,44,0.7147
differential,centre,2,22,4,0.7147
calorie,emulsify,2,11,8,0.7147
dtw,search,3,3,59,0.7144
signature,disaggregate,4,58,5,0.7143
propellant,tow,4,10,29,0.7143
levitation,levitate,7,69,11,0.714
lab,radiate,4,6,49,0.713
fuse,rely,3,9,20,0.7128
skimming,scoop,2,6,15,0.7126
slowness,ignore,2,3,30,0.7126
coordinate,binarize,2,45,2,0.7126
pulley,blower,2,45,2,0.7126
numerator,compute,2,3,30,0.7126
gypsum,electrodialyze,2,45,2,0.7126
voice,broadcast,2,30,3,0.7126
denominator,compute,2,3,30,0.7126
obtaining,infiltrate,4,4,74,0.7123
flowrate,map,2,13,7,0.7116
percolation,pressurise,2,7,13,0.7116
drag,drag,2,7,13,0.7116
incline,threaten,2,13,7,0.7116
damming,retrofit,2,7,13,0.7116
potassium,fluorinate,4,60,5,0.711
formulation,formulate,4,25,12,0.711
inflection,differentiate,2,4,23,0.7106
longevity,water,2,2,46,0.7106
daylighting,squeeze,2,4,23,0.7106
underpressure,admit,2,4,23,0.7106
turbidizer,throttle,2,2,46,0.7106
desert,transform,5,13,34,0.7104
perspective,explode,9,72,17,0.709
bathtub,bath,5,50,9,0.7086
scrubber,galvanize,2,47,2,0.7086
lifetime,preset,4,22,14,0.7084
granularity,employ,13,14,165,0.7082
lag,regress,8,92,11,0.7078
tm,preprocesse,3,10,19,0.7076
prioritization,schedule,2,5,19,0.7076
krc,immobilize,3,5,38,0.7076
biosolid,inoculate,2,5,19,0.7076
seabed,deduce,2,19,5,0.7076
felt,butt,2,19,5,0.7076
ranking,survey,2,5,19,0.7076
shot,shoot,2,5,19,0.7076
poc,roll,5,5,91,0.7075
org,roll,5,5,91,0.7075
bm,roll,5,5,91,0.7075
oomv,plat,2,2,48,0.7067
stud,grout,2,3,32,0.7067
aap,interact,2,4,24,0.7067
office,click,2,32,3,0.7067
cytochrome,interact,2,4,24,0.7067
lf,manipulate,2,3,32,0.7067
pickup,pick,2,8,12,0.7067
asm,linearize,2,24,4,0.7067
logging,log,2,12,8,0.7067
drawbar,urge,2,3,32,0.7067
dock,complexe,2,8,12,0.7067
investigator,listen,3,12,16,0.7066
sno,plat,3,4,48,0.7066
tub,percolate,3,48,4,0.7066
propulsion,ream,3,48,4,0.7066
deoxygenation,deoxygenate,3,16,12,0.7066
supplementing,supplement,3,3,64,0.7066
imaging,image,10,47,32,0.7062
throwing,throw,4,9,35,0.7062
aux,interlock,6,6,105,0.706
towing,rush,5,42,11,0.7059
learning,learn,37,168,84,0.7053
stabilizer,perturb,3,65,3,0.7051
deflector,diverge,3,13,15,0.7051
triac,synchronize,2,7,14,0.7048
toxicity,whiten,3,49,4,0.7046
precaster,scavenge,2,11,9,0.7038
travel,encourage,2,33,3,0.7038
scavenger,antiscale,2,33,3,0.7038
patient,infect,3,22,9,0.7036
kneader,knead,3,9,22,0.7036
titania,stand,9,11,117,0.7036
bill,summarize,3,18,11,0.7036
inference,infer,4,18,18,0.7034
acrylic,sulfonate,2,20,5,0.7029
cam,copy,2,50,2,0.7029
string,sway,4,47,7,0.7019
soundness,inspect,10,13,121,0.7013
radiocarbon,bubble,3,7,29,0.7012
procurement,dissipate,5,11,44,0.7012
downtown,compact,3,7,29,0.7012
culprit,study,2,3,34,0.7011
chestnut,fuse,2,3,34,0.7011
grabber,curve,2,2,51,0.7011
persimmon,fuse,2,3,34,0.7011
digesting,digest,2,2,51,0.7011
chip,dice,3,68,3,0.7008
tractor,curve,6,13,51,0.7008
row,number,6,95,7,0.7005
lily,count,2,2,52,0.6993
auto,text,2,52,2,0.6993
shearing,straddle,2,26,4,0.6993
implantation,drag,2,8,13,0.6993
quartzite,grain,2,2,52,0.6993
qt,normalize,2,4,26,0.6993
bundling,sandwich,3,4,52,0.6989
vaporizer,vaporize,6,9,75,0.6989
format,encompass,2,21,5,0.6984
vp,circuit,2,5,21,0.6984
skirt,pierce,2,21,5,0.6984
bud,deflect,2,3,35,0.6984
jack,choke,2,35,3,0.6984
oilless,bolt,3,5,42,0.698
deadline,access,3,6,35,0.698
ecr,radiate,4,7,49,0.6978
butyrate,ingest,2,2,53,0.6975
damping,damp,5,24,21,0.6972
proton,effect,3,4,53,0.6971
breakthrough,differentiate,5,22,23,0.6968
attention,attract,6,46,15,0.6967
schedule,expire,5,39,13,0.6966
foamer,foam,4,5,70,0.6958
instinct,sit,2,9,12,0.6958
chair,infect,2,12,9,0.6958
glance,seem,2,6,18,0.6958
renovation,rehabilitate,2,12,9,0.6958
led,blink,2,12,9,0.6958
breeding,suwon,2,54,2,0.6958
logging,succeed,2,12,9,0.6958
packaging,ship,2,18,6,0.6958
making,skim,2,18,6,0.6958
decolorization,prioritize,3,43,5,0.6957
strontium,carbonate,3,6,36,0.6953
stratification,violate,3,27,8,0.6953
excretion,excrete,3,12,18,0.6953
concealment,conceal,3,8,27,0.6953
solubilization,solubilize,13,51,51,0.695
antinode,stand,6,6,117,0.6949
diode,emit,33,48,263,0.6949
convolution,pool,2,10,11,0.6941
disengagement,disengage,2,5,22,0.6941
cradle,interpolate,2,10,11,0.6941
antenna,oversee,2,55,2,0.6941
electrofusion,line,11,30,66,0.6939
fire,extinguish,36,234,63,0.6939
waveguide,oscillate,4,17,21,0.6938
immunity,relieve,3,5,44,0.6935
humidifier,humidify,3,20,11,0.6935
bud,obstruct,2,3,37,0.6933
abutment,abut,5,16,33,0.6925
countersunk,clamp,2,4,28,0.6924
juncture,taper,2,4,28,0.6924
pfr,attempt,2,4,28,0.6924
fibre,interrogate,2,56,2,0.6924
tropic,interconnect,6,9,80,0.6923
amino,substitute,6,18,40,0.6923
preload,exert,4,4,91,0.6919
trademark,register,4,5,73,0.6916
planting,landscape,2,38,3,0.6908
bell,dive,2,38,3,0.6908
aggregator,desorb,2,2,57,0.6908
kctc,immobilize,2,3,38,0.6908
swamping,incinerate,2,2,57,0.6908
insolubilization,insolubilize,2,6,19,0.6908
thiooxydans,immobilize,2,3,38,0.6908
biodeodorization,immobilize,2,3,38,0.6908
bud,round,2,3,38,0.6908
lagrange,smooth,2,2,57,0.6908
sufficiency,backwash,2,3,38,0.6908
phb,ingest,4,7,53,0.69
agent,chelate,193,1311,199,0.6893
feedback,text,2,58,2,0.6892
underpressure,vent,2,4,29,0.6892
enzyme,denaturate,2,58,2,0.6892
underpressure,bubble,2,4,29,0.6892
germicide,soak,2,4,29,0.6892
vane,bodyintroduce,2,58,2,0.6892
alert,abate,2,58,2,0.6892
subpressure,situate,2,3,39,0.6884
ata,situate,2,3,39,0.6884
hydrocephalus,impart,2,3,39,0.6884
multiplex,amplify,2,2,59,0.6876
pcr,amplify,2,2,59,0.6876
electrometer,amplify,2,2,59,0.6876
throwing,incubate,3,9,26,0.6876
polishing,polish,5,31,18,0.6869
refining,pelletize,2,17,7,0.6869
company,entrust,3,79,3,0.6864
argon,deoxygenate,2,10,12,0.6861
zeta,stream,2,12,10,0.6861
spill,reconnecte,2,24,5,0.6861
protein,denaturate,2,60,2,0.6861
maturation,attain,2,8,15,0.6861
exo,interact,2,5,24,0.6861
excess,reconstitute,2,60,2,0.6861
amplitude,score,2,40,3,0.6861
plasma,resupplye,2,40,3,0.6861
abc,revise,2,24,5,0.6861
expiry,allocate,2,6,20,0.6861
camming,bias,3,7,34,0.686
theory,believe,6,32,24,0.6857
mooring,levitate,2,11,11,0.6853
dsa,plat,3,5,48,0.6852
concern,obligate,3,80,3,0.6852
deaeration,deaerate,3,24,10,0.6852
biscorayon,weave,2,2,61,0.6846
rtu,prompt,3,11,22,0.6844
sun,shin,2,41,3,0.6838
scattering,band,2,41,3,0.6838
estimation,estimate,151,269,665,0.6836
scope,construe,8,106,12,0.6836
app,access,3,7,35,0.6832
orderer,access,3,7,35,0.6832
ringing,quantify,2,2,62,0.6831
mw,desalt,2,4,31,0.6831
analytic,disaggregate,5,116,5,0.683
mcf,desorb,4,7,57,0.6829
opposition,enclose,3,4,62,0.682
