Distilled Future Work Concept Chain,Paper Count,Percentage of Total Articles (%)
flood control explor,1,2.56%
trad data derivative,1,2.56%
joint research different,1,2.56%
urgently need,1,2.56%
propos architecture include,1,2.56%
function securitty,1,2.56%
resolution method multi,1,2.56%
natural man,1,2.56%
man made,1,2.56%
large scale,1,2.56%
measurement uncertainty,1,2.56%
water flow,1,2.56%
physic inform model,1,2.56%
indicator pipeline,1,2.56%
bas sar,1,2.56%
develop model big,1,2.56%
elaborat method,1,2.56%
explainable develop real,1,2.56%
coverage beyond carolina,1,2.56%
system optimiz,1,2.56%
incorporate multimodal information,1,2.56%
time application iot,1,2.56%
market regulation,1,2.56%
term evaluation schedul,1,2.56%
expand unsupervis,1,2.56%
high energy consumption,1,2.56%
combin deep learn,1,2.56%
creat adaptive clos,1,2.56%
action object,1,2.56%
use satellite,1,2.56%
propos framework current,1,2.56%
across season document,1,2.56%
boundary includ sludge,1,2.56%
embed method,1,2.56%
leak characteristic,1,2.56%
data validation,1,2.56%
communication industrial,1,2.56%
subject action,1,2.56%
information end end,1,2.56%
integrat smart grid,1,2.56%
demonstration benchmark validation,1,2.56%
gram pre defin,1,2.56%
support full water,1,2.56%
integrat topographic indice,1,2.56%
component industry sector,1,2.56%
prospective direction,1,2.56%
standardiz cross plant,1,2.56%
securitty market,1,2.56%
iot long,1,2.56%
signal across,1,2.56%
improve discernable subterranean,1,2.56%
customize approach variou,1,2.56%
generalist model,1,2.56%
beyond carolina integrat,1,2.56%
plant benchmark,1,2.56%
grid iot system,1,2.56%
index graphic data,1,2.56%
long term,1,2.56%
land use type,1,2.56%
conjunction offer outlook,1,2.56%
area include evaluat,1,2.56%
improvement instead propos,1,2.56%
image text,1,2.56%
potential systematic analysi,1,2.56%
patent drawing,1,2.56%
specifically target,1,2.56%
research explore,1,2.56%
large scale heterogeneou,1,2.56%
embed method heterogeneou,1,2.56%
issue shm conjunction,1,2.56%
iot multi,1,2.56%
hardware real life,1,2.56%
possable attribute,1,2.56%
cross plant,1,2.56%
spatial coverage beyond,1,2.56%
earthquake theft terrorism,1,2.56%
plann follow data,1,2.56%
analytic method,1,2.56%
strict tim,1,2.56%
analysi exist approache,1,2.56%
agricultural management practice,1,2.56%
concretization comparative,1,2.56%
grid iot,1,2.56%
incorporate full,1,2.56%
model generalization,1,2.56%
aperture radar,1,2.56%
analysi refine indicator,1,2.56%
unsupervis learn integrat,1,2.56%
indice dynamic factor,1,2.56%
expand system spatial,1,2.56%
dataset develop interpretable,1,2.56%
data quality model,1,2.56%
uncertainty improv prediction,1,2.56%
multi periodic,1,2.56%
relationship technology social,1,2.56%
software solution support,1,2.56%
moisture variation,1,2.56%
digital twin model,1,2.56%
water supply network,1,2.56%
detail concretization,1,2.56%
meaningful term,1,2.56%
socio economic,1,2.56%
system spatial coverage,1,2.56%
target industrial,1,2.56%
financial key,1,2.56%
topographic indice dynamic,1,2.56%
model robustness,1,2.56%
develop efficient technique,1,2.56%
clos loop framework,1,2.56%
type patent,1,2.56%
multimodal basi design,1,2.56%
source like four,1,2.56%
address data,1,2.56%
develop real,1,2.56%
infrastructure integrity,1,2.56%
interpretable physic inform,1,2.56%
factor seasonal,1,2.56%
